drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source,score_esm2,score_drkg
DB12457,Rimegepant,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB12457,Gene::5152,5350,1843,0.9219237293472589,both,0.9213224458353882,0.9225250128591294
DB15569,Sotorasib,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB15569,Gene::7786,14956,3956,0.9215743019441476,both,0.9074722884191784,0.9356763154691168
DB15091,Upadacitinib,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB15091,Gene::7786,5596,3956,0.9210218780391195,both,0.9086151241512218,0.9334286319270172
DB09048,Netupitant,CHEMBL2034,Glucocorticoid receptor,Compound::DB09048,Gene::2908,5244,293,0.9209175649804999,both,0.9206248086804384,0.9212103212805616
DB14723,Larotrectinib,CHEMBL264,Histamine H3 receptor,Compound::DB14723,Gene::57538,937,24087,0.9208985958342336,both,0.917053817917846,0.9247433737506212
DB06287,Temsirolimus,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,Compound::DB06287,Gene::2280,2251,1131,0.9208111579272171,both,0.9156223466173932,0.925999969237041
DB01098,Rosuvastatin,CHEMBL205,Carbonic anhydrase 2,Compound::DB01098,Gene::760,6114,1989,0.9207832133566982,both,0.9311381990442305,0.910428227669166
DB09291,Rolapitant,CHEMBL2034,Glucocorticoid receptor,Compound::DB09291,Gene::2908,3553,293,0.9205430738833436,both,0.9293108375120396,0.9117753102546476
DB08901,Ponatinib,CHEMBL2034,Glucocorticoid receptor,Compound::DB08901,Gene::2908,7187,293,0.9205025131875153,both,0.9195481285911667,0.921456897783864
DB00921,Buprenorphine,CHEMBL2034,Glucocorticoid receptor,Compound::DB00921,Gene::2908,11340,293,0.9203780806453012,both,0.9093385559996288,0.9314176052909736
DB01590,Everolimus,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,Compound::DB01590,Gene::2280,6135,1131,0.9203617516488497,both,0.939765794515127,0.9009577087825724
DB00877,Sirolimus,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,Compound::DB00877,Gene::2280,3155,1131,0.9199957905840643,both,0.934264449042266,0.9057271321258628
DB12005,Nirogacestat,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB12005,Gene::7786,4086,3956,0.91998279692486,both,0.9201861761198438,0.919779417729876
DB00361,Vinorelbine,CHEMBL2034,Glucocorticoid receptor,Compound::DB00361,Gene::2908,3760,293,0.9198389704597145,both,0.9127649326774058,0.9269130082420232
DB01591,Solifenacin,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB01591,Gene::3350,1037,2164,0.919702654113183,both,0.909193036440188,0.930212271786178
DB01263,Posaconazole,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB01263,Gene::7786,3948,3956,0.9193175344692849,both,0.9214465954670004,0.9171884734715694
DB06786,Halcinonide,CHEMBL2034,Glucocorticoid receptor,Compound::DB06786,Gene::2908,2424,293,0.919204175544433,both,0.9189442700403604,0.9194640810485056
DB08801,Dimetindene,CHEMBL216,Muscarinic acetylcholine receptor M1,Compound::DB08801,Gene::1128,5308,1626,0.918784830540659,both,0.9175496344292688,0.9200200266520492
DB14539,Hydrocortisone acetate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14539,Gene::2908,2253,293,0.9183240902966257,both,0.907557714926501,0.9290904656667502
DB09027,Ledipasvir,CHEMBL205,Carbonic anhydrase 2,Compound::DB09027,Gene::760,9141,1989,0.9182845059087854,both,0.9228456737277534,0.9137233380898174
DB14674,Estramustine phosphate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14674,Gene::2908,10404,293,0.9181650182926477,both,0.930186085358264,0.9061439512270316
DB00642,Pemetrexed,CHEMBL205,Carbonic anhydrase 2,Compound::DB00642,Gene::760,10987,1989,0.918061622532558,both,0.925130534789551,0.9109927102755648
DB09335,Alatrofloxacin,CHEMBL2034,Glucocorticoid receptor,Compound::DB09335,Gene::2908,11694,293,0.9180047860165559,both,0.925521695752532,0.9104878762805798
DB12134,Gepotidacin,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB12134,Gene::5152,3264,1843,0.9178942919526987,both,0.9107248314604726,0.9250637524449248
DB06636,Isavuconazonium,CHEMBL2034,Glucocorticoid receptor,Compound::DB06636,Gene::2908,11821,293,0.9177249361309929,both,0.9263353638660352,0.9091145083959506
DB12612,Ozanimod,CHEMBL264,Histamine H3 receptor,Compound::DB12612,Gene::57538,4216,24087,0.9176600303049718,both,0.9180751436626032,0.9172449169473402
