drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source
DB01601,Lopinavir,CHEMBL2014,Nociceptin receptor,Compound::DB01601,Gene::4987,9473,1866,0.90319436953504,drkg_only
DB01208,Sparfloxacin,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB01208,Gene::7786,3318,3956,0.9030640143128608,drkg_only
DB01430,Almitrine,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB01430,Gene::7786,1431,3956,0.9029992753373578,drkg_only
DB12070,Letermovir,CHEMBL2014,Nociceptin receptor,Compound::DB12070,Gene::4987,119,1866,0.9025071790414156,drkg_only
DB00947,Fulvestrant,CHEMBL205,Carbonic anhydrase 2,Compound::DB00947,Gene::760,5386,1989,0.9024466374356782,drkg_only
DB12236,Bexagliflozin,CHEMBL2014,Nociceptin receptor,Compound::DB12236,Gene::4987,1615,1866,0.9023101426054918,drkg_only
DB06374,Elacestrant,CHEMBL264,Histamine H3 receptor,Compound::DB06374,Gene::57538,14171,24087,0.9021743104196472,drkg_only
DB09335,Alatrofloxacin,CHEMBL205,Carbonic anhydrase 2,Compound::DB09335,Gene::760,11694,1989,0.9021175544354166,drkg_only
DB09291,Rolapitant,CHEMBL2014,Nociceptin receptor,Compound::DB09291,Gene::4987,3553,1866,0.9018738762833192,drkg_only
DB09320,Procaine benzylpenicillin,CHEMBL2034,Glucocorticoid receptor,Compound::DB09320,Gene::2908,11531,293,0.9018664810366812,drkg_only
DB00921,Buprenorphine,CHEMBL2014,Nociceptin receptor,Compound::DB00921,Gene::4987,11340,1866,0.901569092758624,drkg_only
DB04868,Nilotinib,CHEMBL264,Histamine H3 receptor,Compound::DB04868,Gene::57538,6766,24087,0.9014731655063282,drkg_only
DB15444,Elexacaftor,CHEMBL2014,Nociceptin receptor,Compound::DB15444,Gene::4987,11355,1866,0.9014064946669608,drkg_only
DB12236,Bexagliflozin,CHEMBL264,Histamine H3 receptor,Compound::DB12236,Gene::57538,1615,24087,0.901369930209844,drkg_only
DB12095,Telotristat ethyl,CHEMBL2014,Nociceptin receptor,Compound::DB12095,Gene::4987,3338,1866,0.9013026870273017,drkg_only
DB09038,Empagliflozin,CHEMBL2034,Glucocorticoid receptor,Compound::DB09038,Gene::2908,1797,293,0.9011107534902836,drkg_only
DB06290,Simeprevir,CHEMBL2034,Glucocorticoid receptor,Compound::DB06290,Gene::2908,72,293,0.9011081475686964,drkg_only
DB09102,Daclatasvir,CHEMBL2014,Nociceptin receptor,Compound::DB09102,Gene::4987,375,1866,0.9010368979228118,drkg_only
DB06077,Lumateperone,CHEMBL2014,Nociceptin receptor,Compound::DB06077,Gene::4987,1119,1866,0.9009184179474812,drkg_only
DB06274,Alvimopan,CHEMBL264,Histamine H3 receptor,Compound::DB06274,Gene::57538,3241,24087,0.900840005767269,drkg_only
DB12095,Telotristat ethyl,CHEMBL2063,Ceramide glucosyltransferase,Compound::DB12095,Gene::7357,3338,1065,0.9008216271656848,drkg_only
DB11274,Dihydro-alpha-ergocryptine,CHEMBL264,Histamine H3 receptor,Compound::DB11274,Gene::57538,10716,24087,0.900614162321942,drkg_only
DB06274,Alvimopan,CHEMBL2014,Nociceptin receptor,Compound::DB06274,Gene::4987,3241,1866,0.9005606080208297,drkg_only
DB15328,Ubrogepant,CHEMBL264,Histamine H3 receptor,Compound::DB15328,Gene::57538,10560,24087,0.9004798890234226,drkg_only
DB00220,Nelfinavir,CHEMBL205,Carbonic anhydrase 2,Compound::DB00220,Gene::760,262,1989,0.9002346629591972,drkg_only
DB11613,Velpatasvir,CHEMBL264,Histamine H3 receptor,Compound::DB11613,Gene::57538,9912,24087,0.9002271800379924,drkg_only
DB00921,Buprenorphine,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB00921,Gene::3350,11340,2164,0.9001200425759265,drkg_only
DB00921,Buprenorphine,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB00921,Gene::3350,11340,2164,0.9001200425759265,drkg_only
DB00320,Dihydroergotamine,CHEMBL2034,Glucocorticoid receptor,Compound::DB00320,Gene::2908,605,293,0.9001190431115335,drkg_only
